Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/06/26, 00:06:44, -7.238746, 72.435074, 0.36,  0.00, 0, 0, 7.16, 1
2016/06/26, 00:12:10, -7.239210, 72.435013, 24.01,  0.00, 178, 0, 52.03, 
2016/06/26, 00:17:38, -7.239039, 72.435150, 9.79,  0.00, 139, 0, 24.29, 
2016/06/26, 00:23:07, -7.239083, 72.435112, 18.22,  0.00, 13, 0, 6.44, 
2016/06/26, 00:28:37, -7.239151, 72.435097, 30.17,  5616.00, 0, 0, 7.74, 
2016/06/26, 00:34:06, -7.239086, 72.435074, 37.01,  0.00, 22, 0, 7.66, 
2016/06/26, 00:39:37, -7.239460, 72.435089, 111.45,  0.00, 8, 0, 41.62, 
2016/06/26, 00:45:05, -7.239421, 72.435097, 125.32,  0.00, 6, 0, 4.43, 
2016/06/26, 00:50:41, -7.238630, 72.435081, -34.14,  2844.00, 9, 0, 87.97, 
2016/06/26, 00:56:31, -7.239266, 72.435120, 110.58,  216.00, 21, 0, 70.85, 
2016/06/26, 01:02:04, -7.238875, 72.435074, 8.63,  1188.00, 165, 0, 43.77, 
2016/06/26, 01:07:30, -7.239164, 72.435150, 111.24,  324.00, 9, 0, 33.21, 
2016/06/26, 01:13:52, -7.239235, 72.435020, 111.35,  324.00, 3, 0, 16.37, 
2016/06/26, 01:21:20, -7.239187, 72.435112, 111.03,  324.00, 9, 0, 11.47, 
2016/06/26, 01:28:52, -7.239110, 72.434944, 110.73,  252.00, 1, 0, 20.41, 
2016/06/26, 01:37:04, -7.238905, 72.435043, -8.45,  1044.00, 8, 0, 25.28, 
2016/06/26, 01:45:31, -7.238834, 72.434952, -1.27,  0.00, 0, 0, 12.77, 
2016/06/26, 01:50:33, -7.238897, 72.435028, 6.89,  1008.00, 25, 0, 10.93, 
2016/06/26, 01:55:34, -7.238835, 72.434898, 2.61,  0.00, 84, 0, 15.91, 
2016/06/26, 02:00:41, -7.238876, 72.434975, 2.31,  0.00, 326, 0, 9.64, 
2016/06/26, 02:05:46, -7.238853, 72.434944, 9.15,  108.00, 42, 0, 4.27, 
2016/06/26, 02:10:53, -7.238874, 72.434998, 7.09,  0.00, 342, 0, 6.40, 
2016/06/26, 02:15:56, -7.238889, 72.435013, -27.73,  1944.00, 334, 0, 2.35, 
2016/06/26, 02:21:03, -7.238321, 72.434662, -77.37,  0.00, 17, 0, 74.08, 
2016/06/26, 02:26:06, -7.238898, 72.435051, -23.13,  864.00, 71, 0, 77.19, 
2016/06/26, 02:31:09, -7.238875, 72.435104, 13.46,  1548.00, 41, 0, 6.38, 
2016/06/26, 02:36:15, -7.238931, 72.435097, -15.31,  0.00, 62, 0, 6.27, 
2016/06/26, 02:41:24, -7.238875, 72.434952, -15.23,  0.00, 347, 0, 17.16, 
