ID,Date,Time,Lat,Lon,DateTime,DeployID,CPLat,CPLon,Species,Population,Deploydatetime,Retrievedatetime,geometry_first,dist,difftime,netdisp,speed,turnangle,CPdist,CPbearing
X102,2011-06-20T00:00:00Z,01:01:35,1.457286954,68.50238481,2011-06-20T01:01:35Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",78262.5159194917,41099,2755410.07207737,1.9042437995934616,143.12102431434286,2696348.50470801,26.699837166569356
X102,2011-06-20T00:00:00Z,13:41:35,0.803837418,69.08407537,2011-06-20T13:41:35Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",97398.5832713633,45600,2720767.95198333,2.1359338436702484,138.32502354297276,2661288.78865267,28.679168070526142
X102,2011-06-21T00:00:00Z,01:06:35,0.3256887,69.51457092,2011-06-21T01:06:35Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",71624.0501277884,41100,2697642.46225855,1.7426776186809831,138.00208394393223,2637893.14005019,30.16968705799203
X102,2011-06-21T00:00:00Z,13:31:35,-0.27554106,69.98523156,2011-06-21T13:31:35Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",84997.519436152,44700,2666882.88588161,1.9015105019273375,141.94509788534958,2606863.73913728,31.93102556741883
X102,2011-06-22T00:00:00Z,01:01:35,-0.158551097,70.31367643,2011-06-22T01:01:35Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",38812.5083300523,41400,2697233.66849742,0.9375002012089919,70.39442596454947,2637142.61289297,32.46334190506644
X102,2011-06-22T00:00:00Z,13:01:35,-0.385174897,69.80491901,2011-06-22T13:01:35Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",61999.4283630812,43200,2645996.12681778,1.4351719528491016,245.98962430778562,2586010.92036144,31.693028052393874
X102,2011-06-23T00:00:00Z,00:56:34,-0.776686692,69.94408847,2011-06-23T00:56:34Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",46256.6949971637,42899,2617077.9405973,1.0782697731220698,160.4313869240778,2556982.22052473,32.51388279971012
X102,2011-06-23T00:00:00Z,13:36:34,-0.820724149,70.07949061,2011-06-23T13:36:34Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",15850.1967334046,45600,2620988.12660371,0.347592033627294,108.0163167554841,2560848.6151246,32.86244818171992
X102,2011-06-24T00:00:00Z,01:11:34,-0.722797058,70.23858546,2011-06-24T01:11:34Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",20796.9803232953,41700,2639709.28172371,0.4987285449231481,58.38660305807349,2579544.98791993,33.06448989703349
X102,2011-06-24T00:00:00Z,13:31:34,-0.665067657,70.60233359,2011-06-24T13:31:34Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",40999.1173191112,44400,2667150.34439926,0.9234035432232242,80.9819677843172,2606908.86055072,33.74318515560273
