"Date","Time","Lon","Lat"
"08.05.2013","14:54:38",18.3420667,-33.905735
"08.05.2013","14:55:46",18.3423017,-33.9050333
"08.05.2013","14:56:32",18.3426533,-33.90469
"08.05.2013","14:57:28",18.3435217,-33.9038317
"08.05.2013","14:58:11",18.3432233,-33.90404
"08.05.2013","14:59:19",18.343905,-33.9032783
"08.05.2013","15:00:56",18.3450467,-33.9025683
"08.05.2013","15:02:11",18.345605,-33.9020233
"08.05.2013","15:03:24",18.3457833,-33.90158
"08.05.2013","15:04:34",18.3469333,-33.901095
"08.05.2013","15:05:52",18.3475317,-33.90069
"08.05.2013","15:07:01",18.3484217,-33.8999033
"08.05.2013","15:08:28",18.3494617,-33.899095
"08.05.2013","15:09:29",18.3502367,-33.8988533
"08.05.2013","15:10:57",18.3514283,-33.8980567
"08.05.2013","15:12:47",18.351675,-33.8968117
"08.05.2013","15:14:33",18.3516017,-33.895555
"08.05.2013","15:16:38",18.3521617,-33.894275
"08.05.2013","15:18:27",18.352505,-33.8931333
"08.05.2013","15:20:14",18.3530717,-33.8922983
"08.05.2013","15:21:32",18.3533333,-33.8914283
"08.05.2013","15:22:22",18.3534283,-33.890775
"08.05.2013","15:23:44",18.3542217,-33.89029
"08.05.2013","15:25:29",18.3554417,-33.88917
"08.05.2013","15:26:35",18.3558267,-33.88863
"08.05.2013","15:27:54",18.3568433,-33.8876167
"08.05.2013","15:29:13",18.3573817,-33.8867267
"08.05.2013","17:23:59",18.402665,-33.8246
"08.05.2013","17:25:08",18.4030883,-33.824715
"08.05.2013","17:26:15",18.4032233,-33.8242267
"08.05.2013","17:27:21",18.4035067,-33.824045
"08.05.2013","17:28:33",18.403685,-33.8237133
"08.05.2013","17:29:58",18.4045283,-33.8224517
"08.05.2013","17:32:13",18.4055967,-33.821625
"08.05.2013","17:34:46",18.4061783,-33.81987
"08.05.2013","17:37:56",18.4063583,-33.8172917
"08.05.2013","17:40:36",18.4061467,-33.8155783
"08.05.2013","17:41:39",18.405865,-33.8152
"08.05.2013","17:42:46",18.4054817,-33.814585
"08.05.2013","17:43:53",18.40513,-33.8143117
"08.05.2013","17:44:59",18.4054983,-33.8138817
"08.05.2013","17:46:07",18.4055783,-33.8136217
"08.05.2013","17:47:34",18.4053967,-33.8131833
"08.05.2013","17:48:59",18.4054983,-33.8122217
"08.05.2013","17:50:11",18.4054567,-33.8115617
"08.05.2013","17:51:26",18.4053533,-33.8105967
"08.05.2013","17:53:01",18.404815,-33.8095167
"08.05.2013","17:55:39",18.40408,-33.8076217
"08.05.2013","17:57:22",18.4032167,-33.8066717
"08.05.2013","17:59:32",18.401925,-33.8053533
"08.05.2013","18:38:05",18.37757,-33.8038167
"08.05.2013","18:39:13",18.377595,-33.8038683
"08.05.2013","18:40:16",18.377155,-33.804265
"08.05.2013","18:41:23",18.3773717,-33.8041017
"08.05.2013","18:42:30",18.377535,-33.80396
"08.05.2013","18:43:33",18.375685,-33.8043817
"08.05.2013","18:44:39",18.377485,-33.8039483
"08.05.2013","18:45:46",18.3775467,-33.80384
"08.05.2013","18:46:49",18.3772233,-33.80405
"08.05.2013","18:47:57",18.37732,-33.8038433
"08.05.2013","18:49:06",18.3772883,-33.8037483
"08.05.2013","18:50:11",18.3771733,-33.8036633
"08.05.2013","18:51:16",18.37713,-33.8035767
"08.05.2013","18:52:21",18.3768283,-33.8034617
"08.05.2013","18:53:30",18.3767283,-33.8033217
"08.05.2013","18:54:39",18.3766817,-33.8031083
"08.05.2013","18:55:45",18.3765183,-33.8029817
"08.05.2013","18:56:50",18.3764533,-33.8028783
"08.05.2013","18:57:53",18.3761017,-33.8029833
"08.05.2013","18:58:57",18.3759783,-33.802615
"08.05.2013","19:00:03",18.37604,-33.8024367
"08.05.2013","19:01:12",18.3765333,-33.802365
"08.05.2013","19:02:17",18.3765533,-33.80232
"08.05.2013","19:03:24",18.37585,-33.8021933
"08.05.2013","19:04:31",18.3757967,-33.8019083
"08.05.2013","19:05:36",18.375935,-33.80152
"08.05.2013","19:06:44",18.3755767,-33.80162
"08.05.2013","19:07:53",18.37577,-33.8013517
"08.05.2013","19:09:02",18.3757783,-33.8011083
"08.05.2013","19:10:05",18.3754233,-33.8010933
"08.05.2013","19:11:14",18.3757817,-33.80061
"08.05.2013","19:12:20",18.37499,-33.80039
"08.05.2013","19:13:28",18.3757033,-33.8002217
"08.05.2013","19:14:35",18.375505,-33.79996
"08.05.2013","19:15:43",18.3757183,-33.7997217
"08.05.2013","19:16:46",18.3775933,-33.79959
"08.05.2013","19:17:54",18.37548,-33.7993017
"08.05.2013","19:19:02",18.3749917,-33.79927
"08.05.2013","19:20:11",18.37525,-33.7990583
"08.05.2013","19:21:14",18.375685,-33.7994083
"08.05.2013","19:22:23",18.3747883,-33.7990967
"08.05.2013","19:23:32",18.374535,-33.7990417
"08.05.2013","19:24:39",18.3742383,-33.79898
"08.05.2013","19:25:46",18.3742867,-33.798845
"08.05.2013","19:26:56",18.3743933,-33.79877
"08.05.2013","19:28:06",18.374125,-33.7986567
"08.05.2013","19:29:14",18.3739267,-33.7985783
"08.05.2013","19:30:38",18.3740417,-33.7984683
"08.05.2013","19:31:47",18.3740733,-33.7981083
"08.05.2013","19:32:53",18.374245,-33.7981317
"08.05.2013","19:33:59",18.3740833,-33.79779
"08.05.2013","19:35:08",18.3740783,-33.79742
"08.05.2013","19:36:19",18.3740633,-33.79727
"08.05.2013","19:37:29",18.3734917,-33.7967233
"08.05.2013","19:38:40",18.3733283,-33.7966617
"08.05.2013","19:39:48",18.37371,-33.7966417
"08.05.2013","19:40:54",18.373635,-33.7967
"08.05.2013","19:42:03",18.373965,-33.7963983
"08.05.2013","19:43:12",18.373775,-33.7963117
"08.05.2013","19:44:20",18.373675,-33.79623
"08.05.2013","19:45:27",18.373895,-33.7961583
"08.05.2013","19:46:31",18.37369,-33.79587
"08.05.2013","19:47:38",18.3732483,-33.7958483
"08.05.2013","19:48:45",18.373515,-33.7957217
"08.05.2013","19:49:54",18.373195,-33.7956367
"08.05.2013","19:51:01",18.3731183,-33.7957133
"08.05.2013","19:52:07",18.3732367,-33.7958183
"08.05.2013","19:53:16",18.372575,-33.795795
"08.05.2013","19:54:21",18.372985,-33.79583
"08.05.2013","19:55:30",18.3724817,-33.795545
"08.05.2013","19:56:36",18.3726233,-33.7955033
"08.05.2013","19:57:44",18.3723317,-33.7955867
"08.05.2013","19:58:54",18.3723867,-33.7956633
"08.05.2013","20:00:04",18.372625,-33.795655
"08.05.2013","20:01:30",18.3725267,-33.7956417
"08.05.2013","20:02:36",18.3721083,-33.79585
"08.05.2013","20:34:12",18.372365,-33.7957083
"08.05.2013","20:35:20",18.3717167,-33.794925
"08.05.2013","20:36:28",18.37373,-33.797275
"08.05.2013","20:37:35",18.3735283,-33.7970217
"08.05.2013","20:38:41",18.3721367,-33.7952333
"08.05.2013","20:39:48",18.3741267,-33.7978783
"08.05.2013","20:40:58",18.3722867,-33.795575
"08.05.2013","20:42:09",18.3725333,-33.7959133
"08.05.2013","20:43:15",18.3723483,-33.7955133
"08.05.2013","20:44:22",18.3725483,-33.7959667
"08.05.2013","20:45:45",18.372755,-33.7961233
"08.05.2013","20:46:51",18.3723267,-33.7954467
"08.05.2013","20:47:58",18.372475,-33.7957633
"08.05.2013","20:49:12",18.3726733,-33.7957967
"08.05.2013","20:50:27",18.3726,-33.7958317
"08.05.2013","20:51:36",18.3723567,-33.795615
"08.05.2013","20:52:43",18.372905,-33.7963083
"08.05.2013","20:53:50",18.37266,-33.7959783
"08.05.2013","20:55:01",18.372535,-33.795725
"08.05.2013","20:56:14",18.3717133,-33.79441
"08.05.2013","20:57:21",18.3726617,-33.7959667
"08.05.2013","20:58:45",18.3724167,-33.79572
"08.05.2013","20:59:52",18.3725967,-33.79578
"08.05.2013","21:01:06",18.372755,-33.7963167
