BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:08:17,-5.721229,72.77137
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:13:22,-5.741691,72.784027
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:18:26,-5.74255,72.786873
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:23:29,-5.729813,72.782265
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:28:34,-5.728754,72.778862
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:33:38,-5.728453,72.77813
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:38:42,-5.729879,72.775238
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:43:50,-5.742217,72.753357
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:48:52,-5.748503,72.734238
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:53:57,-5.731483,72.731979
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,06:58:59,-5.716406,72.727097
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:04:56,-5.714988,72.727448
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:10:19,-5.708047,72.728851
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:15:21,-5.687151,72.700691
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:20:24,-5.671478,72.670792
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:25:29,-5.666937,72.673988
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:30:32,-5.665559,72.647484
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:35:36,-5.666263,72.612083
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:40:40,-5.66177,72.573257
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:45:45,-5.662724,72.532852
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:50:50,-5.659697,72.495667
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,07:55:55,-5.659913,72.457726
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,08:01:02,-5.666006,72.418793
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,08:06:08,-5.667222,72.374428
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,08:11:14,-5.677339,72.323769
